English;Latin;Ref;Multiple;Indicat1;Indicat2;Indicat3;;;;;;
Genesis;Genesis;Gn;FALSE;Gen.;Genesis;;;;;;;
Exodus;Exodo;Ex;FALSE;Exod.;;;;;;;;
Leviticus;Leviticus;Lv;FALSE;Levit.;;;;;;;;
Numbers;Numeri;Nb;FALSE;Num.;;;;;;;;
Deuteronomy;Deuteronomium;Dt;FALSE;Deut.;Deuter.;;;;;;;
Joshua;Josue;Jos;FALSE;Iosue;Ios.;;;;;;;
Judges;Judices;Jg;FALSE;Iudic.;;;;;;;;
Ruth;Ruth;Rt;FALSE;Ruth;;;;;;;;
1 Samuel;1 Samuelis also known as 1 Regum;1S;TRUE;I Reg.;;;;;;;;
2 Samuel;2 Samuelis also known as 2 Regum;2S;TRUE;II Reg.;;;;;;;;
1 Kings;3 Regum;1R;TRUE;III Reg.;;;;;;;;
2 Kings;4 Regum;2R;TRUE;IV Reg.;;;;;;;;
1 Chronicles;1 Paralipomenon;1 Ch;TRUE;I Paral.;I Paralip.;;;;;;;
2 Chronicles;2 Paralipomenon;2 Ch;TRUE;II Paral.;II Paralip.;;;;;;;
Ezra;1 Esdré;Esd;FALSE;Esdr.;Esdrae;;;;;;;
Nehemiah;Nehemié also known as 2 Esdré;Ne;FALSE;II Esdr.;;;;;;;;
Tobit;Tobié;Tb;FALSE;Tob.;;;;;;;;
Judith;Judith;Jdt;FALSE;Iudith;;;;;;;;
Esther;Esther;Est;FALSE;Esther;;;;;;;;
Job;Job;Jb;FALSE;Iob;;;;;;;;
Psalms;Psalmi;Ps;FALSE;Psalmi;;;;;;;;
Proverbs;Proverbia;Pr;FALSE;Prov.;;;;;;;;
Ecclesiastes;Ecclesiastes;Qo;FALSE;Eccle.;;;;;;;;
Song of Solomon;Canticum Canticorum;Ct;FALSE;Cant.;;;;;;;;
Wisdom of Solomon;Sapientié;Sg;FALSE;Sap.;;;;;;;;
Ecclesiasticus;Ecclesiasticus;Si;FALSE;Eccli.;;;;;;;;
Isaiah;Isaié;Is;FALSE;Isa.;Isaiae;;;;;;;
Jeremiah;Jeremié;Jr;FALSE;Ierem.;;;;;;;;
Lamentations;Lamentationes;Lm;FALSE;Lamentationes;;;;;;;;
Baruch;Baruch;Ba;FALSE;Baruch;;;;;;;;
Ezekiel;Ezechielis;Ez;FALSE;Ezech.;Ezechiel;Ezechiae;;;;;;
Daniel;Danielis;Dn;FALSE;Daniel;Danielis;;;;;;;
Hosea;Osee;Os;FALSE;Osee;;;;;;;;
Joel;Joel;Jl;FALSE;Ioel;;;;;;;;
Amos;Amos;Am;FALSE;Amos;;;;;;;;
Obadiah;Abdié;Ab;FALSE;Abide;;;;;;;;
Jonah;Joné;Jon;FALSE;Ionae;;;;;;;;
Micah;Michéæ;Mi;FALSE;Micheae;;;;;;;;
Nahum;Nahum;Na;FALSE;Nahum;;;;;;;;
Habakkuk;Habacuc;Ha;FALSE;Habacuc;;;;;;;;
Zephaniah;Sophoniae;So;FALSE;Sophon.;;;;;;;;
Haggai;Aggéi;Ag;FALSE;Aggei;;;;;;;;
Zechariah;Zacharié;Za;FALSE;Zac.;Zach.;Zachar.;;;;;;
Malachi;Malachié;Ml;FALSE;Malach.;;;;;;;;
1 Maccabees;1 Machabéorum;1 M;TRUE;I Machab.;;;;;;;;
2 Maccabees;2 Machabéorum;2 M;TRUE;II Machab.;II Machab. cap.;;;;;;;
Matthew;secundum Matthéum;Mt;FALSE;Matt.;Matth.;;;;;;;
Mark;secundum Marcum;Mc;FALSE;Marc.;;;;;;;;
Luke;secundum Lucam;Lc;FALSE;Luc.;Lucae;;;;;;;
John;secundum Ioannem;Jn;FALSE;Ioan.;Ioann.;;;;;;;
Acts of the Apostles;Actus;Ac;FALSE;Act.;;;;;;;;
Romans;ad Romanos;Rm;FALSE;Rom.;;;;;;;;
1 Corinthians;1 ad Corinthios;1 Co;TRUE;I Cor.;;;;;;;;
2 Corinthians;2 ad Corinthios;2 Co;TRUE;II Cor.;;;;;;;;
Galatians;ad Galatas;Ga;FALSE;Gal.;;;;;;;;
Ephesians;ad Ephesios;Ep;FALSE;Ephes.;;;;;;;;
Philippians;ad Philippenses;Ph;FALSE;Philipp.;;;;;;;;
Colossians;ad Colossenses;Col;FALSE;Coloss.;;;;;;;;
1 Thessalonians;1 ad Thessalonicenses;1 Th;TRUE;Thessal.;;;;;;;;
2 Thessalonians;2 ad Thessalonicenses;2 Th;TRUE;II Thessalon.;;;;;;;;
1 Timothy;1 ad Timotheum;1 Tm;TRUE;I Tim.;I ad Tim.;;;;;;;
2 Timothy;2 ad Timotheum;2 Tm;TRUE;II Tim.;II ad Tim.;;;;;;;
Titus;ad Titum;Tt;FALSE;Tit.;Titum;;;;;;;
Philemon;ad Philemonem;Phm;FALSE;Philem.;;;;;;;;
Hebrews;ad Hebréos;He;FALSE;Hebr.;Heb.;;;;;;;
James;Iacobi;Jc;FALSE;Iac.;;;;;;;;
1 Peter;1 Petri;1 P;TRUE;I Pet.;;;;;;;;
2 Peter;2 Petri;2 P;TRUE;II Pet.;II Petr.;;;;;;;
1 John;1 Ioannis;1 Jn;TRUE;I Ioan.;I Ioann.;;;;;;;
2 John;2 Ioannis;2 Jn;TRUE;II Ioan.;II Ioann.;;;;;;;
3 John;3 Ioannis;3 Jn;TRUE;III Ioan.;III Ioann.;;;;;;;
Jude;Iudé;Jude;FALSE;Iude;;;;;;;;
Revelation;Apocalypsis;Ap;FALSE;Apoc.;Apocalyps.;;;;;;;
